CVE-2006-0743,2022-05-01T06:42:27Z,"Apache log4net format string vulnerability causes DoS",log4net,0,1.2.10,MODERATE,CWE-134
CVE-2007-0660,2022-05-01T17:46:11Z,"DotNetNuke Vulnerable to XSS in Pass-Through Values",DotNetNuke.Core,0,03.02.01,MODERATE,CWE-79
CVE-2008-6540,2022-05-14T02:38:47Z,"DotNetNuke Default Machine Key Exposure",DotNetNuke.Core,0,4.8.2,MODERATE,CWE-453
CVE-2009-4665,2022-05-02T03:56:59Z,"CuteSoft CuteEditor Path Traversal vulnerability",CuteEditor,0,6.6,MODERATE,CWE-22
CVE-2010-1459,2022-05-02T06:22:59Z,"Mono ASP.NET View State Cross-Site Scripting (XSS) vulnerability",mono,0,2.6.4,MODERATE,CWE-79
CVE-2010-5312,2017-10-24T18:33:38Z,"Cross-site Scripting in jquery-ui",jQuery.UI.Combined,1.7.0,1.10.0,MODERATE,CWE-79
CVE-2011-4969,2022-05-14T01:09:51Z,"jQuery vulnerable to Cross-Site Scripting (XSS)",jQuery,0,1.6.3,MODERATE,CWE-79
CVE-2012-6662,2017-10-24T18:33:37Z,"jquery-ui Tooltip widget vulnerable to XSS",jQuery.UI.Combined,0,1.10.0,MODERATE,CWE-79
CVE-2012-6708,2020-09-01T16:41:46Z,"Cross-Site Scripting in jquery",jQuery,0,1.9.0,MODERATE,CWE-64;CWE-79
CVE-2013-4649,2022-05-17T01:33:02Z,"DotNetNuke (DNN) Cross-site scripting (XSS) vulnerability via the __dnnVariable parameter",DotNetNuke.Core,0,6.2.9,MODERATE,CWE-79
CVE-2013-4649,2022-05-17T01:33:02Z,"DotNetNuke (DNN) Cross-site scripting (XSS) vulnerability via the __dnnVariable parameter",DotNetNuke.Core,7.0,7.1.1,MODERATE,CWE-79
CVE-2013-7335,2022-05-17T04:49:44Z,"DotNetNuke (DNN) Open redirect vulnerability ",DotNetNuke.Core,0,6.2.9,MODERATE,CWE-20;CWE-601
CVE-2013-7335,2022-05-17T04:49:44Z,"DotNetNuke (DNN) Open redirect vulnerability ",DotNetNuke.Core,7.0,7.1.1,MODERATE,CWE-20;CWE-601
CVE-2014-4172,2022-05-17T19:57:18Z,"Jasig Java CAS Client, .NET CAS Client, and phpCAS contain URL parameter injection vulnerability",DotNetCasClient,0,1.0.2,CRITICAL,CWE-74
CVE-2015-1566,2018-10-16T19:33:25Z,"Moderate severity vulnerability that affects DotNetNuke.Core",DotNetNuke.Core,0,7.4.0,MODERATE,CWE-79
CVE-2015-2794,2018-10-16T19:33:42Z,"The installation wizard in DotNetNuke (DNN) allows privilege escalation",DotNetNuke.Core,0,7.4.1,CRITICAL,
CVE-2015-5237,2022-05-13T01:06:54Z,"protobuf susceptible to buffer overflow",Google.Protobuf,0,3.4.0,HIGH,CWE-787
CVE-2015-8813,2022-05-17T02:56:23Z,"Umbraco CMS vulnerable to CSRF",Umbraco.CMS,0,7.4.0,HIGH,CWE-918
CVE-2015-8814,2022-05-17T02:56:23Z,"Umbraco CMS vulnerable to CSRF",Umbraco.CMS,0,7.4.0,HIGH,CWE-352
CVE-2015-9251,2018-01-22T13:32:06Z,"Cross-Site Scripting (XSS) in jquery",jQuery,0,1.12.2,MODERATE,CWE-79
CVE-2015-9251,2018-01-22T13:32:06Z,"Cross-Site Scripting (XSS) in jquery",jQuery,1.12.3,3.0.0,MODERATE,CWE-79
CVE-2016-0024,2022-05-14T02:26:20Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0,HIGH,CWE-119
CVE-2016-0186,2022-05-14T02:25:02Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-0191,2022-05-14T02:24:57Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-0193,2022-05-14T02:24:57Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-10707,2018-01-22T13:32:42Z,"Denial of Service in jquery",jQuery,3.0.0-rc.1,3.0.0,HIGH,CWE-400;CWE-674
CVE-2016-10735,2019-01-17T13:57:27Z,"Bootstrap Cross-site Scripting vulnerability",bootstrap,2.0.4,3.4.0,MODERATE,CWE-79
CVE-2016-10735,2019-01-17T13:57:27Z,"Bootstrap Cross-site Scripting vulnerability",bootstrap,4.0.0-beta,4.0.0-beta.2,MODERATE,CWE-79
CVE-2016-10735,2019-01-17T13:57:27Z,"Bootstrap Cross-site Scripting vulnerability",bootstrap.sass,4.0.0-beta,4.0.0-beta.2,MODERATE,CWE-79
CVE-2016-3199,2022-05-14T02:24:35Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-3202,2022-05-14T02:24:35Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-3214,2022-05-14T02:24:33Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.3.0,HIGH,CWE-119
CVE-2016-3248,2022-05-14T02:24:16Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,,HIGH,CWE-119
CVE-2016-3259,2022-05-14T02:24:15Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-3260,2022-05-14T02:24:15Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-3265,2022-05-14T02:24:13Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-3269,2022-05-14T02:24:13Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.0.0,HIGH,CWE-119
CVE-2016-3296,2022-05-14T02:23:44Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,,HIGH,CWE-119
CVE-2016-3350,2022-05-14T02:23:18Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.1,HIGH,CWE-119
CVE-2016-3377,2022-05-14T02:23:14Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.1,HIGH,CWE-119
CVE-2016-3382,2022-05-14T02:23:12Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.1,HIGH,CWE-119
CVE-2016-3386,2022-05-14T02:23:11Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.1,HIGH,CWE-119
CVE-2016-3389,2022-05-14T02:23:11Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.1,HIGH,CWE-119
CVE-2016-3390,2022-05-14T02:23:11Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.1,HIGH,CWE-119
CVE-2016-7103,2017-10-24T18:33:35Z,"jQuery-UI vulnerable to Cross-site Scripting in dialog closeText",jQuery.UI.Combined,0,1.12.0,MODERATE,CWE-79
CVE-2016-7119,2018-10-16T19:34:10Z,"Cross-site scripting (XSS) vulnerability in the user-profile biography section in DotNetNuke (DNN)",DotNetNuke.Core,0,8.0.1,MODERATE,CWE-79
CVE-2016-7189,2022-05-14T02:22:46Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.2.1,HIGH,CWE-119
